feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
iso_532,0.0008117184529582043,0.001025641025641022,0.000425208306455819,136.0,383.0,259.5
iso_495,0.000717124912081922,0.001025641025641022,0.0007138159439525644,136.0,423.0,279.5
iso_506,0.0006248208011438743,0.001025641025641022,0.0007138159439525644,136.0,456.0,296.0
iso_613,0.0004993072136886863,0.001025641025641022,0.000425208306455819,136.0,505.0,320.5
iso_369,0.00048027301527974744,0.001025641025641022,0.0005128205128205111,136.0,514.0,325.0
iso_58,0.00038390592134073827,0.001025641025641022,0.0005128205128205111,136.0,570.0,353.0
iso_453,0.0037446644181972034,0.0009615384615384581,0.0007718970883841187,157.0,61.0,109.0
iso_141,0.003731820577598838,0.0009615384615384581,0.0007166884543268531,157.0,62.0,109.5
iso_481,0.0026013417079075417,0.0009615384615384581,0.0006568558183307411,157.0,119.0,138.0
iso_108,0.0023796482159178043,0.0009615384615384581,0.0008234123447862233,157.0,135.0,146.0
iso_351,0.0020976866652865802,0.0009615384615384581,0.0007718970883841187,157.0,154.0,155.5
iso_132,0.0017392998209398586,0.0009615384615384581,0.0005909964395700547,157.0,188.0,172.5
iso_423,0.0015852019787484053,0.0009615384615384581,0.0008234123447862234,157.0,213.0,185.0
iso_188,0.0015837345684506896,0.0009615384615384581,0.0006568558183307411,157.0,215.0,186.0
iso_164,0.0015651135642393216,0.0009615384615384581,0.0006568558183307411,157.0,219.0,188.0
iso_462,0.001324371968668626,0.0009615384615384581,0.0008718891351753458,157.0,256.0,206.5
iso_494,0.0012832397011442959,0.0009615384615384581,0.0008234123447862233,157.0,263.0,210.0
iso_541,0.0011475052297566302,0.0009615384615384581,0.0008718891351753459,157.0,286.0,221.5
iso_38,0.0011119200586860156,0.0009615384615384581,0.0008718891351753459,157.0,299.0,228.0
iso_504,0.0010691463782829288,0.0009615384615384581,0.0006568558183307411,157.0,308.0,232.5
iso_429,0.0010611435673963283,0.0009615384615384581,0.0004300130725961119,157.0,310.0,233.5
iso_408,0.00070701384697183,0.0009615384615384581,0.0004300130725961119,157.0,426.0,291.5
iso_250,0.00041255459722458,0.0009615384615384581,0.0005168113941217001,157.0,559.0,358.0
iso_120,0.00040817429981968576,0.0009615384615384581,0.0005909964395700547,157.0,560.0,358.5
iso_358,0.004663069493605301,0.0008974358974358943,0.0008209133637734392,175.0,32.0,103.5
iso_135,0.004078108007649641,0.0008974358974358943,0.0010415433852097348,175.0,50.0,112.5
iso_134,0.003665126357465393,0.0008974358974358943,0.0010013140610136701,175.0,65.0,120.0
iso_181,0.0027794581187433553,0.0008974358974358943,0.0007138159439525644,175.0,113.0,144.0
iso_214,0.002577658754285536,0.0008974358974358943,0.0006537204504606112,175.0,122.0,148.5
iso_542,0.0010985278568613503,0.0008974358974358943,0.0009155677472490802,175.0,303.0,239.0
iso_568,0.0010212429567938498,0.0008974358974358943,0.001222998976175567,175.0,319.0,247.0
iso_220,0.0009522829343926653,0.0008974358974358943,0.000425208306455819,175.0,338.0,256.5
iso_502,0.0009340018849203069,0.0008974358974358943,0.000425208306455819,175.0,344.0,259.5
iso_379,0.000921653924322203,0.0008974358974358943,0.00031403714651066273,175.0,349.0,262.0
iso_193,0.0008553677987495223,0.0008974358974358943,0.000425208306455819,175.0,371.0,273.0
iso_338,0.0005895032528924066,0.0008974358974358943,0.0005128205128205111,175.0,472.0,323.5
iso_243,0.0005061647059371389,0.0008974358974358943,0.000425208306455819,175.0,501.0,338.0
iso_582,0.0004312566992864027,0.0008974358974358943,0.00031403714651066273,175.0,546.0,360.5
iso_264,0.004897502448031504,0.0008333333333333304,0.0009951394036064082,189.0,25.0,107.0
iso_479,0.004760778132249036,0.0008333333333333304,0.0016229472950220665,189.0,29.0,109.0
iso_411,0.0042774090914729805,0.0008333333333333304,0.0002937548522407579,189.0,41.0,115.0
iso_545,0.004153475670442951,0.0008333333333333304,0.0007051282051282026,189.0,45.0,117.0
iso_11,0.0028599507398790274,0.0008333333333333304,0.0012179487179487134,189.0,108.0,148.5
iso_175,0.002544254369574807,0.0008333333333333304,0.0005769230769230749,189.0,124.0,156.5
iso_450,0.0018132629350211635,0.0008333333333333304,0.0009951394036064082,189.0,184.0,186.5
iso_186,0.0014589797083961542,0.0008333333333333304,0.0006442227962256958,189.0,237.0,213.0
iso_381,0.0011135226312224706,0.0008333333333333304,0.0005769230769230748,189.0,298.0,243.5
iso_79,0.0010429283995938227,0.0008333333333333304,0.0009529531248281058,189.0,315.0,252.0
iso_189,0.0009043259897951472,0.0008333333333333304,0.00041045668188671963,189.0,357.0,273.0
iso_592,0.0008357205246921852,0.0008333333333333304,0.000500657030506835,189.0,377.0,283.0
iso_6,0.000818711916704519,0.0008333333333333304,0.00041045668188671963,189.0,381.0,285.0
iso_611,0.000801549984531963,0.0008333333333333304,0.00041045668188671963,189.0,390.0,289.5
